title,description,author,contact,email_contact,update_date,url,data_type,access
HYDRUS-1D,"<p>HYDRUS-1D is a Microsoft Windows-based modeling environment for analysis of water flow and solute transport in variably saturated porous media. The software package includes the one-dimensional finite element model HYDRUS (version 7.0) for simulating the movement of water, heat, and multiple solutes in variably saturated media. The model is supported by an interactive graphics-based interface for data-preprocessing, discretization of the soil profile, and graphic presentation of the results.</p>
<p>The HYDRUS program is a finite element model for simulating theone-dimensional movement of water, heat, and multiple solutes in variably saturated media. The program numerically solves the Richards' equation for saturated-unsaturated water flow and Fickian-based advection dispersion equations for heat and solute transport.</p>
<p>TheFlow equation incorporates a sink term to account for water uptake by plant roots.</p>
<p>TheHeat transport equation considers conduction as well as convection with flowing water.</p>
<p>TheSolute transport equations consider advective-dispersive transport in the liquid phase, and diffusion in the gaseous phase.</p>
<p>The transport equations also include provisions for:</p>
<p>Nonlinear<br />
and/orNonequilibrium reactions between the solid and liquid phases,</p>
<p>Linear equilibrium reactions between the liquid and gaseous phases,<br />
Zero order production, and<br />
TwoFirst order degradation reactions:<br />
One which is independent of other solutes, and<br />
One which provides the coupling between  solutes involved in sequential first-order decay reactions.<br />
The program may be used to analyze water and solute movement in unsaturated, partially saturated, or fully saturated porous media.</p>
<p>The flow region itself may be composed of nonuniform soils. Flow and transport can occur in the vertical, horizontal, or a generally inclined direction. The water flow part of the model can deal with (constant or time-varying) prescribed head and flux boundaries, boundaries controlled by atmospheric conditions, as well as free drainage boundary conditions. Soil surface boundary conditions may change during the simulation from prescribed flux to prescribed head type conditions (and vice versa).</p>
<p>For solute transport the code supports both (constant and varying) prescribed concentration (Dirichlet or first-type) and concentration flux (Cauchy or third-type) boundary conditions. The dispersion coefficient includes terms reflecting the effects of molecular diffusion and tortuosity.</p>
<p>The Unsaturated Soil Hydraulic Properties are described using van Genuchten [1980], Brooks and Correy [1964] and modified van Genuchten type analytical functions. Modifications were made to improve the description of hydraulic properties near saturation. The HYDRUS code incorporates hysteresis by using the empirical model introduced by Scott et al. [1983] and Kool and Parker [1987]. This model assumes that drying scanning curves are scaled from the main drying curve, and wetting scanning curves from the main wetting curve.</p>
<p>HYDRUS also implements a scaling procedure to approximate hydraulic variability in a given soil profile by means of a set of linear scaling transformations which relate the individual soil hydraulic characteristics to those of a reference soil.</p>
<p>Root growth is simulated by means of a logistic growth function. Water and salinity stress response functions can be defined according to functions proposed by Feddes et al. [1978] or van Genuchten [1987].</p>
<p>The governing flow and transport equations are solvednumerically using Galerkin type linear finite element schemes. Integration in time is achieved using an implicit (backwards) finite difference scheme for both saturated and unsaturated conditions. Additional measures are taken to improve solution efficiency for transient problems, including automatic time step adjustment and adherence to preset ranges of the Courant and Peclet numbers. The water content term is evaluated using the mass conservative method proposed by Celia et al. [1990]. Possible options for minimizing numerical oscillations in the transport solutions include upstream weighing, artificial dispersion, and/or performance indexing.</p>
<p>HYDRUS implements a Marquardt-Levenberg type parameter estimation technique for inverse estimation of selected soil hydraulic and/or solute transport and reaction parameters from measured transient or steady-state flow and/or transport data. The procedure permits several unknown parameters to be estimated from observed water contents, pressure heads, concentrations, and/or instantaneous or cumulative boundary fluxes (e.g., infiltration or outflow data).  Additional retention or hydraulic conductivity data, as well as a penalty function for constraining the optimized parameters to remain in some feasible region (Bayesian estimation), can be optionally included in the parameter estimation procedure.</p>
",Agricultural Research Service,"Skaggs, Todd",mailto:Todd.Skaggs@ars.usda.gov,2022-01-07,https://www.ars.usda.gov/research/software/download/?softwareid=97&amp;modecode=20-36-15-00,text/html,public
Halyomorpha halys Official Gene Set v1.2,"<p>This dataset presents the <em>Halyomorpha halys</em> Official Gene Set (OGS) v1.2. OGSv1.2 is an update of <em>Halyomorpha halys</em> OGSv1.1 (<a href=""https://doi.org/10.15482/USDA.ADC/1504240"">https://doi.org/10.15482/USDA.ADC/1504240</a>) to the coordinates of genome assembly GCA_000696795.3 (<a href=""https://www.ncbi.nlm.nih.gov/assembly/GCA_000696795.3"">https://www.ncbi.nlm.nih.gov/assembly/GCA_000696795.3</a>) using <a href=""https://github.com/NAL-i5K/coordinates_conversion/"">https://github.com/NAL-i5K/coordinates_conversion/</a>.</p>
<p>The original OGSv1.0 is an integration of automatic gene predictions from NCBI's eukaryotic annotation pipeline, NCBI Halyomorpha halys Annotation Release 100 (<a href=""https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Halyomorpha_halys/100/;"">https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Halyomorpha_halys/100/;</a> <a href=""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/795/GCF_000696795.1_Hhal_1.0"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/795/GCF_000696795.1_H...</a>), with manual annotations by the research community (performed via the Apollo manual curation software, <a href=""http://genomearchitect.org/"">http://genomearchitect.org/</a>). Manual annotations performed by the community were downloaded from Apollo, QC'd, and merged with NCBI Halyomorpha halys Annotation Release 100 using the GFF3toolkit software (<a href=""https://github.com/NAL-i5K/GFF3toolkit/releases/tag/v1.4.4"">https://github.com/NAL-i5K/GFF3toolkit/releases/tag/v1.4.4</a>). The resulting merged dataset was formatted for ingest into the i5k Workspace and GenBank databases, resulting in <em>Halyomorpha halys</em> Official Gene Set (OGS) v1.0.</p>
<p>Halyomorpha Official Gene Set halhal_OGSv1.1 is a minor update of halhal_OGSv1.0: Alias attributes were added to all manually annotated cathepsin models; six models from contaminated scaffolds were removed; and notes were added to 3 models located on possibly contaminated scaffolds.</p>
",Agricultural Research Service,"Sparks, Michael",mailto:Michael.Sparks2@USDA.GOV,2022-05-25,https://data.nal.usda.gov/system/files/halhal_OGSv1.2.tar.gz,application/octet-stream,public
Halyomorpha halys Official Gene Sets v1.0 and v1.1,"<p>The Baylor College of Medicine sequenced and annotated the <em>Halyomorpha halys</em> genome as part of the i5k pilot project. The <em>H. halys</em> research community has manually reviewed and curated the computational gene predictions and generated official gene sets, halhal_OGSv1.0 and halhal_OGSv1.1.</p>
<p>halhal_OGSv1.0 is a merge of automatic gene predictions from NCBI's eukaryotic annotation pipeline, NCBI Halyomorpha halys Annotation Release 100 (<a href=""https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Halyomorpha_halys/100/;"">https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Halyomorpha_halys/100/;</a> <a href=""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/795/GCF_000696795.1_Hhal_1.0"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/795/GCF_000696795.1_H...</a>), with manual annotations by the research community (performed via the Apollo manual curation software, <a href=""http://genomearchitect.org/"">http://genomearchitect.org/</a>). Manual annotations performed by the community were downloaded from Apollo, QC'd, and merged with NCBI Halyomorpha halys Annotation Release 100 using the GFF3toolkit software (<a href=""https://github.com/NAL-i5K/GFF3toolkit/releases/tag/v1.4.4"">https://github.com/NAL-i5K/GFF3toolkit/releases/tag/v1.4.4</a>). The resulting merged dataset was formatted for ingest into the i5k Workspace and GenBank databases, resulting in Halyomorpha halys Official Gene Set (OGS) v1.0.</p>
<p>Halyomorpha Official Gene Set halhal_OGSv1.1 is a minor update of halhal_OGSv1.0: Alias attributes were added to all manually annotated cathepsin models; six models from contaminated scaffolds were removed; and notes were added to 3 models located on possibly contaminated scaffolds.</p>
",Agricultural Research Service,"Sparks, Michael",mailto:Michael.Sparks2@USDA.GOV,2022-05-25,https://data.nal.usda.gov/system/files/halhal_OGSv1.0.tar_1.gz,application/octet-stream,public
"Herbicide, nutrient, and suspended sediment data for streams in the Devils Icebox and Hunters Caves","<p>The data set contains concentration, load, and daily discharge data for Devils Icebox Cave and Hunters Cave from 1999 to 2002. The data are available in Microsoft Excel 2010 format. Sheet 1 (Cave Streams Metadata) contains supporting information regarding the length of record, site locations, parameters measured, parameter units, method detection limits, describes the meaning of zero and blank cells, and briefly describes unit area load computations. Sheet 2 (Devils Icebox Concentration Data) contains concentration data from all samples collected from 1999 to 2002 at the Devils Icebox site for 12 analytes and two computed nutrient parameters. Sheet 3 (Devils Icebox SS Conc Data) contains 15-minute suspended sediment (SS) concentrations estimated from turbidity sensor data for the Devils Icebox site. Sheet 4 (Devils Icebox Load & Discharge Data) contains daily data for discharge, load, and unit area loads for the Devils Icebox site. Sheet 5 (Hunters Cave Concentration Data) contains concentration data from all samples collected from 1999 to 2002 at the Hunters Cave site for 12 analytes and two computed nutrient parameters. Sheet 6 (Hunters Cave SS Conc Data) contains 15-minute SS concentrations estimated from turbidity sensor data for the Hunters Cave site. Sheet 7 (Hunters Cave Load & Discharge Data) contains daily data for discharge, load, and unit area loads for the Hunters Cave site.</p>
<p>Atrazine concentrations in Goodwater Creek Experimental Watershed (GCEW) were shown to be among the very highest of any watershed in the United States based on comparisons using the national Watershed Regressions for Pesticides (WARP) model and by direct comparison with the 112 watersheds used in the development of WARP. The herbicide data collected in GCEW are documented at plot, field, and watershed scales. This 20-yr-long (1991-2010) effort was augmented with a spatially broad effort within the Central Mississippi River Basin encompassing 12 related claypan watersheds in the Salt River Basin, two cave streams on the fringe of the Central Claypan Areas in the Bonne Femme watershed, and 95 streams in northern Missouri and southern Iowa. The research effort on herbicide transport has highlighted the importance of restrictive soil layers with smectitic mineralogy to the risk of transport vulnerability. Near-surface soil features, such as claypans and argillic horizons, result in greater herbicide transport than soils with high saturated hydraulic conductivities and low smectitic clay content.</p>
",Agricultural Research Service,"Lerch, Robert",mailto:bob.lerch@ars.usda.gov,2021-12-28,https://geodata.nal.usda.gov/geonetwork/srv/eng/catalog.search#/metadata/GoodwaterNutrient_jjm_2015-03-12_1533,text/html,public
"High efficiency Nitrogen Study for Greenhouse gas Reduction through Agricultural Carbon Enhancement network in Fort Collins, Colorado","<p>High efficiency Nitrogen Study for Greenhouse gas Reduction through Agricultural Carbon Enhancement network in Fort Collins, Colorado<br />
Nitrogen fertilization is essential for optimizing crop yields; however, it increases N2O emissions. The study objective was to compare N2O emissions resulting from application of commercially available enhanced-efficiency N fertilizers with emissions from conventional dry granular urea in irrigated cropping systems. These emissions were monitored from several irrigated cropping systems receiving N fertilizer rates ranging from 0-202 kg/ha years 2009-2011. Fertilizer types include Urea, UAN, SuperU (N inhibitor), ESN(slow release). In 2009, we eliminated the conventional tillage treatment.  Cropping systems from 2009-2011 included a more conservative strip-till continuous corn (ST-CC) rotation and a no-till continuous corn (NT-CC) rotation.  We also tested different fertilizer placements, including broadcast (bc), surface banded (bd) sub-surface banded (ssb) N inputs. Nitrous oxide fluxes were measured during these three growing seasons using static, vented chambers and a gas chromatograph analyzer.  This work shows that the use of no-till and enhanced-efficiency N fertilizers can potentially reduce N2O emissions from irrigated systems.</p>
",Agricultural Research Service,"Del Grosso, Steve",mailto:steve.delgrosso@ars.usda.gov,2021-12-28,https://data.nal.usda.gov/system/files/COFOARD3_csv_data.zip,application/zip,public
HoloBee Database v2016.1,"<p>Organisms living in honey bees and honey bee colonies form large associative holobiont communities that are integral to bee biology.  High-throughput sequencing approaches to characterize these holobiont communities from honey bees in various states of health and disease are now commonplace, producing large amounts of nucleotide sequence data that must be accurately and consistently analyzed in order to produce reliable and comparable reports.  In addition, new species designations and revisions are actively being made from honey bee holobiont communities, complicating nomenclature in larger databases where taxonomic descriptions associated with archived sequences can quickly become outdated and misleading.</p>
<p>To improve the accuracy and consistency of honey bee holobiont research, we have developed HoloBee: a curated database of publicly accessioned nucleotide sequences from the honey bee holobiont community.  Except in rare and noted exceptions made by curators, sequences used in HoloBee were obtained from, or in association with, <em>Apis mellifera</em> (Western honey bee) as well as other honey bee species where available (e.g. <em>Apis cerana</em>, <em>Apis dorsata</em>, <em>Apis laboriosa</em>, <em>Apis koschevnikovi</em>, <em>Apis florea</em>, <em>Apis andreniformis</em> and <em>Apis nigrocincta</em>).  Sources include:  within or on the surface of honey bees (adult, pupae, larvae, egg), corbicular pollen, bee bread, royal jelly, honey, comb, hive surfaces (e.g. bottom board debris, frames, landing platforms), and isolates of microbes, parasites and pathogens from honey bees.  HoloBee contains two non-overlapping sets of sequence data, HoloBee-Barcode and HoloBee-Mop, each of which have distinct intended uses.</p>
<p><strong>HoloBee-Barcode</strong> is a non-redundant database of taxonomically informative barcoding loci for all viruses, bacteria, fungi, protozoans and metazoans associated with honey bees (<em>Apis</em> spp.).  It was created from an exhaustive master sequence archive of all valid holobiont sequences.  Redundancy was removed from this master archive using a clustering algorithm that grouped sequences with ≥ 99% identity and retained the longest sequence from each cluster as the representative accession for that sequence type (“centroid”).  These centroid sequences were concatenated into a fasta formatted file to create the HoloBee-Barcode database.  Associated taxonomy for each centroid, including Superkingdom through Species and Strain/Isolate, was individually reviewed and corrected when necessary by a curator.  Cross reference tables (separated according to 5 major taxonomic groups) provide a user-friendly outline of information for each centroid accession within HoloBee-Barcode including taxonomy, gene/product name, sequence length, the unaltered NCBI definition line, the number and identity of redundant sequences clustered within each centroid, and any additional information provided by the curator.  HoloBee-Barcode centroid counts are: Viruses = 86; Bacteria = 496; Fungi = 41; Protozoa = 4; Metazoa = 60.</p>
<p>HoloBee-Barcode is intended to improve and standardize quantitative and qualitative metagenomic descriptions of holobiont communities associated with honey bees by providing a curated set of barcode sequences.  The goal of genetic barcoding is to associate a nucleotide sequence sample to a taxonomically valid species.  Genomic regions targeted for such barcoding purposes varied by taxonomic group.  The small subunit (SSU) ribosomal RNA, or 16S rRNA, is the most commonly used barcode for bacteria and is used in HB-Barcode.  These 16S rRNA sequences will support the analysis of data generated with the widely used approach of amplicon-based 16S rRNA deep sequencing to study microbiota communities.  Although barcode markers for fungi are less definitive than bacteria, HB-Barcode defaults to the ribosomal RNA internal transcribed spacer region (ITS), which typically includes ITS-1, 5.8S, and ITS-2.  For some clades that cannot be resolved by this region, other barcode markers were selected.  The majority of barcodes for metazoan taxa are the mitochondrial locus cytochrome c oxidase subunit I (COI).  Complete mitochondrial DNA (mtDNA) sequence for <em>Apis cerana</em> (Asian honey bee) and <em>Galleria mellonella</em> (Greater wax moth) are included as barcodes for these species.  We note that <em>A. cerana</em> mtDNA is included because it is considered a potentially invasive honey bee species and monitoring for its occurrence is in practice regionally, including in Australia, New Zealand and the USA.  Protozoan barcodes include cytochrome b oxidase (Cytb), SSU, or ITS while entire genomes are used for viral barcoding.</p>
<p><strong>HoloBee-Mop</strong> is a database comprised mostly of chromosomal, mitochondrial and plasmid genome assemblies in order to aggregate as much honey bee holobiont genomic sequence information as possible.  For a few organisms without genome assembly data, transcriptome data are included (e.g. <em>Aethina tumida</em>, small hive beetle).  Unlike HoloBee-Barcode, redundancy removal was not performed on the HoloBee-Mop database and thus this resource provides an archive of nucleotide sequence assemblies from honey bee holobionts.  However, since full viral genomes are used in HoloBee-Barcode, only redundant viral sequences occur in HoloBee-Mop.  All accessions within each of these assemblies were concatenated into a single fasta formatted file to create the HoloBee-Mop database.  The intended purpose of HoloBee-Mop is to improve honey bee genome and transcriptome assemblies by “mopping-up” as much viral, bacterial, fungal, protozoan and non-honey bee metazoan sequence data as possible.  Therefore, sequence data remaining after processing reads through both HoloBee-Barcode and HoloBee-Mop that do not map to the honey bee genome may contain unique data from taxonomic variants or novel species.  Details for each sequence assembly within HoloBee-Mop are tabulated in cross reference tables according to each major taxonomic group.  HoloBee-Mop assembly counts are: Viruses = 2; Bacteria = 55; Fungi = 5; Protozoa = 1; Metazoa = 6.</p>
<p>Follow the HoloBee database on Twitter at: <a href=""https://twitter.com/HoloBee_db"">https://twitter.com/HoloBee_db</a></p>
<p>For questions about the HoloBee database, contact:<br />
HoloBee database team: <a href=""mailto:holobee.db@gmail.com"">holobee.db@gmail.com</a><br />
Jay Evans: <a href=""mailto:Jay.Evans@ars.usda.gov"">Jay.Evans@ars.usda.gov</a><br />
Anna Childers: <a href=""mailto:Anna.Childers@ars.usda.gov"">Anna.Childers@ars.usda.gov</a></p>
",Agricultural Research Service,HoloBee database team,mailto:holobee.db@gmail.com,2023-09-19,https://data.nal.usda.gov/system/files/Data_Dictionary_HoloBee_v2016.1.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,public
Homalodisca vitripennis Genome Assembly 1.0,"<p>The Baylor College of Medicine recently sequenced and annotated the <em>Homalodisca vitripennis</em> genome as part of the i5k pilot project.</p>
<p>The Glassy-winged sharpshooter, GWSS, (<em>Homalodisca vitripennis</em>) [Hemiptera: Cicadellidae], occurs naturally within the southern United States. Once restricted to the southeastern states, it was accidentally spread across the south into California. The GWSS is a voracious feeder, and can fly long distances, preferring to feed upon cultivated crops, ie. Grapevine, fruit trees, and in the nymphal stages many weeds and grasses.</p>
<p>The GWSS is a serious threat to the viticulture industry as the primary vector of the plant-infecting bacterium, <em>Xylella fastidiosa</em>, Xf. The GWSS feeds on a diverse number of plants, during which the bacteria can infect many tree fruit, nut, vine, and woody ornamental crops.</p>
<p>Glassy-winged Sharpshooter adults are ½ inch (13mm) long being fairly large for the Sharpshooter leafhopper family of insects. Sharpshooters use an ovipositor to lay eggs inside of the underside of leaves. The Sharpshooter will lay its eggs on almost any plant including cactus. The egg masses are usually composed of 10-20 eggs, but can lay more or as few as 1. Most of the egg masses have a waxy coating of brocosomes around the eggs for protection. The nymphs (5 instars) do not have wings, but develop wing pads in the 5th instar and are generally smaller than the adults, ranging in size from .07 inches (2 mm) to nearly ½ inch (13mm) long. The nymphs have very distinct red eyes. The Sharpshooter can consume about 300 times its own weight in fluids from the xylem vessels of the plants upon which it feeds, thus producing copious amounts of excreta fluid.</p>
<p>This dataset presents the <em>Homalodisca vitripennis</em> genome v1.0. This assembly version is the pre-release version, prior to filtering and quality control by the National Center for Biotechnology Information's GenBank resource (<a href=""https://www.ncbi.nlm.nih.gov/assembly/GCA_000696855.1"">https://www.ncbi.nlm.nih.gov/assembly/GCA_000696855.1</a>). Assembly method details will be available in a forthcoming publication.</p>
<p>If you wish to use this dataset, please follow the Baylor College of Medicine's conditions for data use: <a href=""https://www.hgsc.bcm.edu/bcm-hgsc-conditions-use"">https://www.hgsc.bcm.edu/bcm-hgsc-conditions-use</a></p>
",Agricultural Research Service,"Hunter, Wayne",mailto:Wayne.Hunter@ARS.USDA.GOV,2019-08-05,https://data.nal.usda.gov/system/files/Hvit_1.0.tgz,application/x-gtar,public
Homalodisca vitripennis genome annotations v0.5.3,"<p>The <em>Homalodisca vitripennis</em> genome was recently sequenced and annotated as part of the i5k pilot project by the Baylor College of Medicine.</p>
<p>The Glassy-winged sharpshooter, GWSS, (<em>Homalodisca vitripennis</em>) [Hemiptera: Cicadellidae], occurs naturally within the southern United States. Once restricted to the southeastern states, it was accidentally spread across the south into California. The GWSS is a voracious feeder, and can fly long distances, preferring to feed upon cultivated crops, ie. Grapevine, fruit trees, and in the nymphal stages many weeds and grasses.</p>
<p>The GWSS is a serious threat to the viticulture industry as the primary vector of the plant-infecting bacterium, <em>Xylella fastidiosa</em>, Xf. The GWSS feeds on a diverse number of plants, during which the bacteria can infect many tree fruit, nut, vine, and woody ornamental crops.</p>
<p>Glassy-winged Sharpshooter adults are ½ inch (13mm) long being fairly large for the Sharpshooter leafhopper family of insects. Sharpshooters use an ovipositor to lay eggs inside of the underside of leaves. The Sharpshooter will lay its eggs on almost any plant including cactus. The egg masses are usually composed of 10-20 eggs, but can lay more or as few as 1. Most of the egg masses have a waxy coating of brocosomes around the eggs for protection. The nymphs (5 instars) do not have wings, but develop wing pads in the 5th instar and are generally smaller than the adults, ranging in size from .07 inches (2 mm) to nearly ½ inch (13mm) long. The nymphs have very distinct red eyes. The Sharpshooter can consume about 300 times its own weight in fluids from the xylem vessels of the plants upon which it feeds, thus producing copious amounts of excreta fluid.</p>
<p>This dataset presents the <em>Homalodisca vitripennis</em> genome v1.0. This assembly version is the pre-release version, prior to filtering and quality control by the National Center for Biotechnology Information's GenBank resource (<a href=""https://www.ncbi.nlm.nih.gov/assembly/GCA_000696855.1"">https://www.ncbi.nlm.nih.gov/assembly/GCA_000696855.1</a>). Assembly method details will be available in a forthcoming publication.</p>
<p>NOTE: This gene set is an unstable pre-release (v0.5.3), and was provided to facilitate manual curation and analyses before the official gene set is released. Gene identifiers from this gene set will likely not be maintained.</p>
<p>If you wish to use this dataset, please follow the Baylor College of Medicine's conditions for data use: <a href=""https://www.hgsc.bcm.edu/bcm-hgsc-conditions-use"">https://www.hgsc.bcm.edu/bcm-hgsc-conditions-use</a></p>
",Agricultural Research Service,"Hunter, Wayne",mailto:Wayne.Hunter@ARS.USDA.GOV,2019-08-05,https://data.nal.usda.gov/system/files/Hvit_genome_annotations_v0.5.3.tgz,application/x-gtar,public
Honey bee (Apis mellifera) and Varroa mite (Varroa destructor) toxicity data,"<p>Toxicological data generated for <em>Apis mellifera</em> honey bees and an ectoparasitic mite (<em>Varroa destructor</em>) in laboratory toxicity trials are presented. Data were generated over a four-year period by members of the Varroacide Research and Testing Team (VRTT) as part of a foundational grant from the Foundation for Food and Agricultural Research (FFAR). Data may be used to explore toxicological responses of honey bees and <em>Varroa</em> mites to a wide range of natural and synthetic chemical treatments against <em>Varroa</em> infestations in honey bee colonies. Data may be collected and analyzed together with other data sets not generated by VRTT.</p>
",Agricultural Research Service,"Cook, Steven",mailto:steven.cook@usda.gov,2022-03-28,https://data.nal.usda.gov/system/files/Vial%20%26%20Jar%20Data%20Summer%202019%20USDA%20.csv,text/csv,public
Human blood plasma oxylipins + endocannabinoids exercise patterns,"<p>These data represent temporal changes in the concentrations of individual oxylipins (OxL) and endocannabinoids (eCB) in adult women during a sub-maximal aerobic exercise bout, and at recovery (20 min. post-cessation of exercise) (Supplementary Materials 1).  Results are depicted both before (pre-) and after (post-) a weight loss and fitness intervention lasting at least 14 wk.  Participants were obese, sedentary, and insulin resistant in the pre-intervention phase.  Also depicted are statistical groupings of metabolites, as an Excel file (Supplementary Materials 2).</p>
",Agricultural Research Service,"Adams, Sean",mailto:shadams@ucdavis.edu,2022-09-29,https://data.nal.usda.gov/system/files/oxy_timecourse%2C%20SUPPLEMENTAL%20MATERIALS%201%2C%20for%20submission.pdf,application/pdf,public
Hyalella azteca Official Gene Set v1.0,"<p>The <em>Hyalella azteca</em> genome was recently sequenced and annotated as part of the i5k pilot project by the Baylor College of Medicine.  The <em>Hyalella azteca</em> research community has manually reviewed and curated the computational gene predictions and generated an official gene set, OGSv1.0. The OGS is an integration of automatic gene predictions from Maker with manual annotations by the research community (via the Apollo manual annotation software).</p>
<p>If you wish to use this dataset, please follow the Baylor College of Medicine's conditions for data use: <a>https://www.hgsc.bcm.edu/bcm-hgsc-conditions-use</a></p>
",Agricultural Research Service,"Poynton, Helen",mailto:Helen.Poynton@umb.edu,2023-09-18,https://data.nal.usda.gov/system/files/hyaazt_OGS_v1-0.tar.gz,application/octet-stream,public
Hyalella azteca Official Gene Set v1.2,"<p>This dataset presents the <em>Hyalella azteca</em> Official Gene Set OGSv1.2. The <em>Hyalella azteca</em> genome assembly was recently updated to assembly Hazt_2.0 (<a href=""https://www.ncbi.nlm.nih.gov/assembly/GCF_000764305.1"">https://www.ncbi.nlm.nih.gov/assembly/GCF_000764305.1</a>).  The <em>Hyalella azteca</em> Official Gene Set v1.0, originally generated from assembly Hyalella azteca Genome Assembly 1.0 (10.15482/USDA.ADC/1415994) was lifted over to Hazt_2.0 using the NCBI's remap service, the CrossMap software (<a href=""http://crossmap.sourceforge.net/"">http://crossmap.sourceforge.net/</a>), and remap_gff3 (<a href=""https://github.com/NAL-i5K/remap-gff3"">https://github.com/NAL-i5K/remap-gff3</a>). This resulted in the unreleased OGSv1.1. OGSv1.1 received additional QA/QC during NCBI submission, generating <em>Hyalella azteca</em> OGSv1.2.</p>
<p>This dataset contains the following files:<br />
hyaazt_OGSv1.2.tar.gz</p>
<ul>
<li>hyaazt_OGSv1.2.1.gff - GFF3 file of the Hyalella azteca Official Gene Set OGSv1.2</li>
<li>hyaazt_OGSv1.2_cds.fa - CDS fasta file of the Hyalella azteca Official Gene Set OGSv1.2</li>
<li>hyaazt_OGSv1.2_pep.fa - Protein fasta file of the Hyalella azteca Official Gene Set OGSv1.2</li>
<li>hyaazt_OGSv1.2_trans.fa - Transcript fasta file of the Hyalella azteca Official Gene Set OGSv1.2</li>
<li>readme</li>
</ul>
",Agricultural Research Service,"Poynton, Helen",mailto:Helen.Poynton@umb.edu,2023-09-20,https://data.nal.usda.gov/system/files/hyaazt_OGSv1.2.tar.gz,application/octet-stream,public
Hymenoptera Holotypes of the Smithsonian Institution,"<p>This website is a collaborative effort among several individuals. Michael Gates (USDA, Smithsonian Institution, Washington, DC) conceptualized the project. Robert Kula (USDA, Smithsonian Institution, Washington, DC) and Matthew Buffington (USDA, Smithsonian Institution, Washington, DC) contributed to the design of the website. Type photographs were taken by Mr. Jeffrey Chiu and Eugenio (Gino) Nearns (APHIS/PPQ/NIS) developed the website and prepared the on-line searchable database. Signiphoridae type specimens were photographed and processed by members of the Woolley Lab (Ana Dal Molin and Lydia Wessner) and support provided by National Science Foundation - PEET DEB-0730616 grant to Dr. Jim Woolley (Texas A&M University) and Dr. John Heraty (University of California, Riverside).</p>
",Agricultural Research Service,"Gates, Michael",mailto:michael.gates@usda.gov,2022-05-17,http://usnmhymtypes.com/default.asp?Action=Show_About,text/html,public
IMAP: Image Mapping & Analytics for Phenotyping,"<p>A set of PYTHON programs to implement image processing of ground and aerial images by offering via graphical user interface (GUI) 1) plot-level metrics extraction through a series of algorithms for image conversion, band math, radiometric/geometric calibrations, segmentation, masking, adaptive region of interest (ROI), gridding, heatmap, and batch process, 2) GIS interface for GeoTIFF pixels to Lat/Lon, UTM conversion, read/write shapefile, Lat/Lon to ROI, grid to polygon, and 3) utility GUI functions for zooming, panning, rotation, images to video, file I/O, and histogram.</p>
",Agricultural Research Service,"Kim, James",mailto:james.kim2@usda.gov,2022-09-16,https://data.nal.usda.gov/system/files/IMAP_0.zip,application/zip,public
"Immigration and cyclical bottlenecks: High inbreeding despite high genetic diversity in an oscillating population of the biting midge, Culicoides sonorensis (Diptera: Ceratopogonidae)","<p>These data represent the microsatellite peak calls generated after genotyping the specimens, as well as, the outputs from downstream analyses and the metadata used to construct some of the figures and tables. The microsatellite data can be found in ""Shults_2023_peak_calls.xlsx"" and contains the identity of each peak scored scored using Geneious v.9.1 software. An ""x"" represents no peak call at that marker for that individual. These data were used as input for all of the subsequent population genetic analyses. All of the data used to create the tables and figures of the manuscript can be found in ""Shults_2023_tables_figs.xlsx"".</p>
<p>Resources in this dataset:</p>
<ul>
<li>
<p>Resource Title: Microsatellite peak calls<br />
File Name: Shults_2023_peak_calls.xlsx<br />
Resource Description: Contained in this file are all of the individual specimens (rows) genotype during this project. An ""x"" represents an uncalled peak for that specific marker.</p>
</li>
<li>
<p>Resource Title: Tables and Figures<br />
File Name: Shults_2023_tables_figs.xlsx<br />
Resource Description: Contained in this file are all of the metadata used to create the tales and figures from the manuscript. Each tab is labeled with the corresponding information and IBT stands for isolation by time.</p>
</li>
</ul>
",Agricultural Research Service,"Shults, Phillip",mailto:phillip.shults@usda.gov,2023-05-05,https://data.nal.usda.gov/system/files/Shults_2023_peak_calls.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,public
Imperfect SSR Finder,"<p>The Imperfect SSR Finder is an online tool to help geneticists find Simple Sequence Repeats (SSR), aka microsatellites or Short Tandem Repeats (STR), in uploaded FASTA sequences.</p>
<p>The Imperfect SSR Finder is an interactive website to help you find imperfect (and perfect) SSRs. You can test small snippets or upload large files, change the lengths and types of the SSRs your are looking for, and create output with SSRs in inverted case and/or color highlights. A tabular information file is also created in .CSV format, for easy import into any spreadsheet program.</p>
",Agricultural Research Service,"Eujayl, Imad",mailto:Imad.Eujayl@ARS.USDA.GOV,2021-11-30,https://ssr.nwisrl.ars.usda.gov/,text/html,public
